	
%.2fx	%.2fx
%@	%@
%@ %@	%1$@ %2$@
%@ %@ (%@)	%1$@ %2$@ (%3$@)
%@ Automatically created	%@ Automatically created
%@ Episodes	%@ Episodes
%@ New Episodes	%@ New Episodes
%@ Settings	%@ Settings
%@ Unplayed	%@ Unplayed
%@ Unplayed Episodes	%@ Unplayed Episodes
%@ episodes	%@ episodes
%@ episodes in the feed	%@ episodes in the feed
%@ in Apple Podcasts	%@ in Apple Podcasts
%@ in Library	%@ in Library
%@ is not available	%@ is not available
%@ left	%@ left
%@ new episodes	%@ new episodes
%@ of %@	%1$@ of %2$@
%@ podcasts	%@ podcasts
%@ remaining	%@ remaining
%@ saved episodes	%@ saved episodes
%@ stations	%@ stations
%@ unplayed	%@ unplayed
%@ unplayed episodes	%@ unplayed episodes
AX_SKIP_BACKWARD	Previous
AX_SKIP_FORWARD	Next
AX_SUGGEST_LESS_BUTTON_LABEL	Suggest Less
AX_TRANSCRIPT_BUTTON_LABEL	Transcript
AX_VOLUME	Volume
Account Settings…	Account Settings…
Add	Add
Add Audio to Library	Add Audio to Library
Add E-Mail Account	Add Email Account
Add Episodes	Add Episodes
Add Episodes From	Add Episodes From
Add Podcast	Add Podcast
Add Podcast Prompt	Choose Podcasts for “%@”
Add Podcasts	Choose Podcasts…
Add Shows	Choose Shows…
Add Station	Add Station
Add To Library	Add To Library
Add iCloud Account	Add iMessage Account
Add this Episode	Add this Episode
Add to Queue	Add to Queue
AddEpisodesAllEpisodes	All Episodes
Added to Queue	Added to Queue
Adjust Playback Speed	Adjust Playback Speed
Adjust Speed and Clarity	Adjust Speed and Clarity
Adjust playback speed	Adjust playback speed
Advanced	Advanced
Airplane Mode	Airplane Mode
All	All
All %@	All %@
All Episodes	All Episodes
All New Episodes	All New Episodes
All Podcasts	All Podcasts
All Podcasts Button	Include All Podcasts
All Unplayed	All Unplayed
All downloads paused.	All downloads paused.
Allow	Allow
Allow Once	Allow Once
Always Allow	Always Allow
Always Ask	Always Ask
An Apple Account is the login you use for just about everything you do with Apple.	An Apple Account is the login you use for just about everything you do with Apple.
An unknown error occurred	An unknown error occurred
Apple Account	Apple Account
Apple Account Sign In…	Apple Account Sign In…
Apple ID Sign In…	Apple ID Sign In…
Apple Podcasts	Apple Podcasts
Apps	Apps
Apps → Podcasts	Apps → Podcasts
Artist	Artist
Ascending	Ascending
Ask Siri or use Search to follow shows.	Ask Siri or use Search to follow shows.
